,rank,skillRating,reputationlevel,bestDivision,wins,ties,losses,gamesPlayed,goals,goalsAgainst,cleanSheets,goalsPerGame,goalsAgainstPerGame,gamesPlayedPlayoff,reputationtier,bestFinishGroup,clubName,clubId,currentDivision,clubInfo,platform
123,24,2448,5,1,182,2,1,185,819,81,128,4.43,0.44,0,1,0,Unlimited Power,4678881,1,"{'name': 'Unlimited Power', 'clubId': 4678881, 'regionId': 5064001, 'teamId': 47, 'customKit': {'stadName': 'Ramón Sánchez-Pizjuán', 'kitId': '385024', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160917'}}",common-gen5
124,25,2448,9,1,569,36,134,739,2298,764,404,3.11,1.03,20,3,1,Akhy Gang,241476,1,"{'name': 'Akhy Gang', 'clubId': 241476, 'regionId': 5457237, 'teamId': 73, 'customKit': {'stadName': ""Akhy's Home"", 'kitId': '598016', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7616', 'customAwayKitId': '7623', 'customThirdKitId': '7632', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '14358546', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '14358546', 'kitAColor2': '1841428', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '592397', 'kitThrdColor2': '15921906', 'kitThrdColor3': '14358546', 'kitThrdColor4': '15921906', 'dCustomKit': '3', 'crestColor': '13543260', 'crestAssetId': '99161102'}}",common-gen5
125,26,2445,6,1,269,1,7,277,1281,87,223,4.62,0.31,20,1,1,Tapeur FC,5857666,1,"{'name': 'Tapeur FC', 'clubId': 5857666, 'regionId': 5457237, 'teamId': 111817, 'customKit': {'stadName': 'Allianz Stadium', 'kitId': '916004864', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7622', 'customAwayKitId': '7648', 'customThirdKitId': '7632', 'customKeeperKitId': '5000', 'kitColor1': '592397', 'kitColor2': '1259409', 'kitColor3': '16699904', 'kitColor4': '16699904', 'kitAColor1': '2704542', 'kitAColor2': '16699904', 'kitAColor3': '16699904', 'kitAColor4': '16699904', 'kitThrdColor1': '16045584', 'kitThrdColor2': '1841428', 'kitThrdColor3': '16045584', 'kitThrdColor4': '592397', 'dCustomKit': '0', 'crestColor': '16244746', 'crestAssetId': '99060707'}}",common-gen5
126,27,2435,8,1,247,16,23,286,1050,306,130,3.67,1.07,20,2,1,Mancs m14,5542036,1,"{'name': 'Mancs m14', 'clubId': 5542036, 'regionId': 4344147, 'teamId': 234, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '1916928', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7540', 'customAwayKitId': '7534', 'customThirdKitId': '7538', 'customKeeperKitId': '5027', 'kitColor1': '1841428', 'kitColor2': '15101200', 'kitColor3': '15921906', 'kitColor4': '16699904', 'kitAColor1': '15921906', 'kitAColor2': '1841428', 'kitAColor3': '4002593', 'kitAColor4': '1841428', 'kitThrdColor1': '858211', 'kitThrdColor2': '11670838', 'kitThrdColor3': '1259409', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160125'}}",common-gen5
127,28,2434,5,1,178,1,3,182,1067,32,165,5.86,0.18,0,1,0,Zalama Taj Rask,2214526,1,"{'name': 'Zalama Taj Rask', 'clubId': 2214526, 'regionId': 5064001, 'teamId': 243, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '1990656', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '13574250', 'crestAssetId': '99061029'}}",common-gen5
128,29,2433,10,1,803,97,91,991,3386,1104,383,3.42,1.11,20,3,1,MOD SAYIAN,755011,1,"{'name': 'MOD SAYIAN', 'clubId': 755011, 'regionId': 5457237, 'teamId': 605, 'customKit': {'stadName': 'Wembley Stadium', 'kitId': '4956160', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7525', 'customAwayKitId': '7515', 'customThirdKitId': '7631', 'customKeeperKitId': '5029', 'kitColor1': '592397', 'kitColor2': '12762028', 'kitColor3': '15921906', 'kitColor4': '14655653', 'kitAColor1': '15130831', 'kitAColor2': '12762028', 'kitAColor3': '592397', 'kitAColor4': '1841428', 'kitThrdColor1': '22436', 'kitThrdColor2': '1482375', 'kitThrdColor3': '14358546', 'kitThrdColor4': '14358546', 'dCustomKit': '0', 'crestColor': '13543260', 'crestAssetId': '99161129'}}",common-gen5
129,30,2431,5,1,173,10,11,194,745,240,71,3.84,1.24,20,1,1,E N J 0 Y,1947266,1,"{'name': 'E N J 0 Y', 'clubId': 1947266, 'regionId': 5064001, 'teamId': 62, 'customKit': {'stadName': 'Ramón Sánchez-Pizjuán', 'kitId': '507904', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7853', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '1841428', 'kitColor2': '8654629', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99150510'}}",common-gen5
130,31,2387,9,1,591,27,37,655,2705,756,235,4.13,1.15,20,3,1,Saudi Dream,3743276,1,"{'name': 'Saudi Dream', 'clubId': 3743276, 'regionId': 5064001, 'teamId': 241, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '1974275', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161018'}}",common-gen5
131,32,2379,5,1,168,4,0,172,843,141,103,4.90,0.82,0,1,0,Tiki Taka X,4357626,1,"{'name': 'Tiki Taka X', 'clubId': 4357626, 'regionId': 4344147, 'teamId': 1362, 'customKit': {'stadName': 'Ramón Sánchez-Pizjuán', 'kitId': '11157504', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161101'}}",common-gen5
132,33,2368,6,1,193,0,1,194,953,11,185,4.91,0.06,20,1,1,GFC eSports NET,7097381,1,"{'name': 'GFC eSports NET', 'clubId': 7097381, 'regionId': 5457237, 'teamId': 1387, 'customKit': {'stadName': 'Ramón Sánchez-Pizjuán', 'kitId': '11362304', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7625', 'customAwayKitId': '7534', 'customThirdKitId': '7625', 'customKeeperKitId': '5004', 'kitColor1': '14358546', 'kitColor2': '16774144', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '15921906', 'kitAColor2': '14358546', 'kitAColor3': '15921906', 'kitAColor4': '14358546', 'kitThrdColor1': '16774144', 'kitThrdColor2': '14358546', 'kitThrdColor3': '16774144', 'kitThrdColor4': '592397', 'dCustomKit': '0', 'crestColor': '13179675', 'crestAssetId': '99100501'}}",common-gen5
133,34,2362,8,1,258,43,52,353,1044,455,117,2.96,1.29,20,2,4,UND4TE4BLES FC,327316,1,"{'name': 'UND4TE4BLES FC', 'clubId': 327316, 'regionId': 4344147, 'teamId': 245, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '2007043', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7646', 'customAwayKitId': '7645', 'customThirdKitId': '7633', 'customKeeperKitId': '5028', 'kitColor1': '22436', 'kitColor2': '16696614', 'kitColor3': '22436', 'kitColor4': '16696614', 'kitAColor1': '15921906', 'kitAColor2': '592397', 'kitAColor3': '22436', 'kitAColor4': '15921906', 'kitThrdColor1': '15921906', 'kitThrdColor2': '4133724', 'kitThrdColor3': '5775459', 'kitThrdColor4': '4133724', 'dCustomKit': '0', 'crestColor': '13179675', 'crestAssetId': '99150505'}}",common-gen5
134,35,2359,8,1,206,8,21,235,892,264,93,3.80,1.12,20,2,1,H E 1 S A R I,712576,5,"{'name': 'H E 1 S A R I', 'clubId': 712576, 'regionId': 5064001, 'teamId': 1824, 'customKit': {'stadName': 'Estadio Benito Villamarín', 'kitId': '14942209', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160814'}}",common-gen5
135,36,2355,5,1,118,1,5,124,672,57,100,5.42,0.46,0,1,0,BucketFC,518926,1,"{'name': 'BucketFC', 'clubId': 518926, 'regionId': 4344147, 'teamId': 9, 'customKit': {'stadName': 'Ramón Sánchez-Pizjuán', 'kitId': '73728', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '1', 'customKitId': '7534', 'customAwayKitId': '7534', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '16464712', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '16464712', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '13574250', 'crestAssetId': '99160515'}}",common-gen5
136,37,2354,8,1,451,67,101,619,2366,1451,188,3.82,2.34,20,2,4,THE GÖAT§,58761,2,"{'name': 'THE GÖAT§', 'clubId': 58761, 'regionId': 5064001, 'teamId': 110556, 'customKit': {'stadName': 'Estadio Benito Villamarín', 'kitId': '905674752', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160605'}}",common-gen5
137,38,2352,6,1,112,4,31,147,474,127,102,3.22,0.86,15,1,2,Tiki Takaaaaaa,3999986,1,"{'name': 'Tiki Takaaaaaa', 'clubId': 3999986, 'regionId': 4344147, 'teamId': 91, 'customKit': {'stadName': 'Estadio de Montilivi', 'kitId': '745472', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99020312'}}",common-gen5
138,39,2350,7,1,185,4,0,189,756,106,55,4.00,0.56,7,2,6,Composed,596386,2,"{'name': 'Composed', 'clubId': 596386, 'regionId': 4344147, 'teamId': 247, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '2023427', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160724'}}",common-gen5
139,40,2344,9,1,543,26,30,599,2111,439,316,3.52,0.73,20,3,1,Vetra FC,3597671,1,"{'name': 'Vetra FC', 'clubId': 3597671, 'regionId': 4344147, 'teamId': 66, 'customKit': {'stadName': 'Estadio Benito Villamarín', 'kitId': '540673', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7543', 'customAwayKitId': '7638', 'customThirdKitId': '7638', 'customKeeperKitId': '5025', 'kitColor1': '14358546', 'kitColor2': '592397', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '14935011', 'kitAColor3': '14358546', 'kitAColor4': '1841428', 'kitThrdColor1': '2704542', 'kitThrdColor2': '22436', 'kitThrdColor3': '15921906', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99010102'}}",common-gen5
140,41,2338,8,1,202,4,6,212,951,159,110,4.49,0.75,20,2,1,FreePALESTINE1,6543401,2,"{'name': 'FreePALESTINE1', 'clubId': 6543401, 'regionId': 5064001, 'teamId': 1943, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '15917056', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '1', 'customKitId': '7647', 'customAwayKitId': '7543', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '14358546', 'kitColor3': '1336871', 'kitColor4': '592397', 'kitAColor1': '22436', 'kitAColor2': '592397', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '13179675', 'crestAssetId': '99110503'}}",common-gen5
141,42,2338,8,1,234,15,11,260,939,190,130,3.61,0.73,20,2,1,I Jinchûriki I,1380021,1,"{'name': 'I Jinchûriki I', 'clubId': 1380021, 'regionId': 5457237, 'teamId': 1335, 'customKit': {'stadName': 'Stade niveau 3', 'kitId': '10936320', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412417', 'selectedKitType': '2', 'customKitId': '7630', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '14358546', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '15921906', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161102'}}",common-gen5
142,43,2336,8,1,491,20,26,537,2596,738,180,4.83,1.37,20,2,1,iraqineoh,1131001,3,"{'name': 'iraqineoh', 'clubId': 1131001, 'regionId': 5723475, 'teamId': 241, 'customKit': {'stadName': ""WOLF'S DEN STAD"", 'kitId': '1974272', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7539', 'customAwayKitId': '7541', 'customThirdKitId': '7522', 'customKeeperKitId': '5000', 'kitColor1': '12702174', 'kitColor2': '14358546', 'kitColor3': '14358546', 'kitColor4': '4920087', 'kitAColor1': '33627', 'kitAColor2': '11194602', 'kitAColor3': '14358546', 'kitAColor4': '14358546', 'kitThrdColor1': '592397', 'kitThrdColor2': '15130831', 'kitThrdColor3': '12762028', 'kitThrdColor4': '12762028', 'dCustomKit': '1', 'crestColor': '1611589', 'crestAssetId': '99160615'}}",common-gen5
143,44,2331,5,1,77,4,0,81,400,24,64,4.94,0.30,0,1,0,WATCH24l7,7713250,1,"{'name': 'WATCH24l7', 'clubId': 7713250, 'regionId': 4543827, 'teamId': 111111, 'customKit': {'stadName': 'Tier 1 Stadium', 'kitId': '910221312', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160411'}}",common-gen5
144,45,2330,5,1,124,0,2,126,520,13,120,4.13,0.10,10,1,1,LEMON TRIX,7595436,1,"{'name': 'LEMON TRIX', 'clubId': 7595436, 'regionId': 5457237, 'teamId': 112408, 'customKit': {'stadName': 'Stadio livello 1', 'kitId': '920846336', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412417', 'selectedKitType': '2', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160116'}}",common-gen5
145,46,2324,8,1,298,27,32,357,1180,327,173,3.31,0.92,20,2,1,xREAL FOOTBALLx,3364946,1,"{'name': 'xREAL FOOTBALLx', 'clubId': 3364946, 'regionId': 4344147, 'teamId': 243, 'customKit': {'stadName': 'Estadio Benito Villamarín', 'kitId': '1990659', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404225', 'selectedKitType': '1', 'customKitId': '7631', 'customAwayKitId': '7642', 'customThirdKitId': '7626', 'customKeeperKitId': '5015', 'kitColor1': '15101200', 'kitColor2': '22436', 'kitColor3': '1841428', 'kitColor4': '15921906', 'kitAColor1': '592397', 'kitAColor2': '1841428', 'kitAColor3': '16774144', 'kitAColor4': '16464712', 'kitThrdColor1': '16464712', 'kitThrdColor2': '15921906', 'kitThrdColor3': '16464712', 'kitThrdColor4': '1841428', 'dCustomKit': '3', 'crestColor': '16777215', 'crestAssetId': '99160218'}}",common-gen5
146,47,2323,5,1,98,0,1,99,455,10,93,4.60,0.10,10,1,1,GFC eSportsNET,7371171,1,"{'name': 'GFC eSportsNET', 'clubId': 7371171, 'regionId': 5457237, 'teamId': 112408, 'customKit': {'stadName': 'Stadio livello 1', 'kitId': '920846337', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160924'}}",common-gen5
147,48,2321,5,1,127,0,1,128,659,47,97,5.15,0.37,0,1,0,Tiki Taka XI,2734726,1,"{'name': 'Tiki Taka XI', 'clubId': 2734726, 'regionId': 4344147, 'teamId': 241, 'customKit': {'stadName': 'Ramón Sánchez-Pizjuán', 'kitId': '1974272', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160607'}}",common-gen5
148,49,2321,1,6,1,1,16,18,310,56,5,17.22,3.11,10,0,6,FC De Stoikers,2259271,6,"{'name': 'FC De Stoikers', 'clubId': 2259271, 'regionId': 5719381, 'teamId': 229, 'customKit': {'stadName': 'Rang 1 Stadion', 'kitId': '81920', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160905'}}",common-gen5
149,50,2313,5,1,112,4,2,118,510,94,60,4.32,0.80,0,1,0,FC RQ,4592336,1,"{'name': 'FC RQ', 'clubId': 4592336, 'regionId': 5457237, 'teamId': 45, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '368640', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7520', 'customAwayKitId': '7622', 'customThirdKitId': '7616', 'customKeeperKitId': '5011', 'kitColor1': '15921906', 'kitColor2': '8654629', 'kitColor3': '592397', 'kitColor4': '9838384', 'kitAColor1': '14935011', 'kitAColor2': '4920087', 'kitAColor3': '1841428', 'kitAColor4': '592397', 'kitThrdColor1': '14358546', 'kitThrdColor2': '15921906', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99110417'}}",common-gen5
150,51,2308,7,1,109,0,1,110,478,63,67,4.35,0.57,16,2,3,xVA 91,6865361,2,"{'name': 'xVA 91', 'clubId': 6865361, 'regionId': 5457237, 'teamId': 21, 'customKit': {'stadName': ""St. James' Park"", 'kitId': '172033', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160517'}}",common-gen5
151,52,2308,8,1,274,28,27,329,1143,356,126,3.47,1.08,20,2,2,FC Serein,93671,1,"{'name': 'FC Serein', 'clubId': 93671, 'regionId': 5457237, 'teamId': 243, 'customKit': {'stadName': 'Emirates Stadium', 'kitId': '1990656', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160909'}}",common-gen5
152,53,2305,7,1,124,10,11,145,554,164,51,3.82,1.13,20,2,2,S H i S H Ä,4178586,6,"{'name': 'S H i S H Ä', 'clubId': 4178586, 'regionId': 5064001, 'teamId': 698, 'customKit': {'stadName': 'S H I S H Ä', 'kitId': '5718016', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7537', 'customAwayKitId': '7853', 'customThirdKitId': '7632', 'customKeeperKitId': '5020', 'kitColor1': '14358546', 'kitColor2': '592397', 'kitColor3': '14358546', 'kitColor4': '14358546', 'kitAColor1': '1713203', 'kitAColor2': '22436', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '16687883', 'kitThrdColor2': '15921906', 'kitThrdColor3': '15921906', 'kitThrdColor4': '15921906', 'dCustomKit': '1', 'crestColor': '13179675', 'crestAssetId': '99160525'}}",common-gen5
153,54,2301,5,1,128,0,3,131,588,50,94,4.49,0.38,0,1,0,Ghirma,4603311,1,"{'name': 'Ghirma', 'clubId': 4603311, 'regionId': 5457237, 'teamId': 1343, 'customKit': {'stadName': 'wohninvest Weserstadion', 'kitId': '11001856', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404225', 'selectedKitType': '0', 'customKitId': '7514', 'customAwayKitId': '7524', 'customThirdKitId': '7534', 'customKeeperKitId': '5006', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '11670838', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '592397', 'kitThrdColor1': '592397', 'kitThrdColor2': '1841428', 'kitThrdColor3': '592397', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160120'}}",common-gen5
